z1,z2
0.012008935,-0.34758478
-0.31503958,0.975456
0.04876679,-0.660694
0.2618869,-2.4760833
-0.53405654,1.3331734
-0.5340198,1.3331132
0.2755658,-2.5926027
0.077921525,-0.90903836
-1.0596251,2.1977444
0.023171097,-0.4426657
-1.046098,2.1754918
-1.0512619,2.1839867
-0.024692446,0.13627362
-4.284238,7.5022964
-3.8635468,6.8102503
-1.266915,2.5387402
-2.2731643,4.1940403
-0.02177623,0.012148976
-2.0390868,3.8089786
-3.165351,5.661704
0.24791628,-2.35708
-0.5153471,1.3023962
-0.049870193,0.45788264
-3.1931448,5.7074265
-1.2269261,2.472958
-0.032472163,0.37534183
-2.581738,4.70165
-0.017454982,-0.09660679
-1.3525689,2.6796427
-0.6625679,1.5445772
-1.3549541,2.6835666
0.3420493,-3.1589193
-0.11652887,0.62205046
-2.3733993,4.358929
0.09133926,-1.0233326
-2.737742,4.958279
-0.02602771,0.1931091
-4.3878455,7.672733
-2.9774818,5.3526564
-0.026511997,0.21371907
0.07086864,-0.8489608
-0.027012825,0.25730395
-0.26548415,0.8990797
-0.6835842,1.5791494
-3.3132434,5.904991
-1.618804,3.1176047
-1.0398915,2.1652822
0.14845195,-1.5098276
-0.020591348,-0.038285345
-3.9486904,6.950313
-0.021379441,-0.0047418773
-0.87114286,1.8876873
-1.5229409,2.959908
0.03999889,-0.5860074
0.14209186,-1.4556513
0.11781311,-1.2488409
-1.8854135,3.5561829
-0.70169425,1.6089407
-0.021089822,-0.017070115
0.1285903,-1.340643
-1.0812889,2.2333817
-0.42558527,1.1548439
-2.481997,4.537574
-2.6827173,4.867763
0.088899866,-1.0025538
0.22127832,-2.1301742
-0.17361,0.7608589
0.13540451,-1.3986874
-0.01986444,-0.069224596
-1.4519137,2.8430667
-0.019874156,-0.068811774
0.26554054,-2.5072064
-0.13574788,0.6731374
0.2720186,-2.562388
-5.861976,10.0993395
0.09118277,-1.0220001
-0.039759308,0.43247706
-0.67890215,1.5714473
-0.036735117,0.41836798
-4.450155,7.7752333
-0.50171334,1.2799684
-0.02004695,-0.061457068
0.2508976,-2.3824754
-1.1686062,2.3770204
-1.8167945,3.443303
-1.1317255,2.316351
0.11394721,-1.2159109
-0.02119118,-0.012756109
-1.1942682,2.4192348
0.016039103,-0.38191497
-0.03551528,0.4063636
0.12691039,-1.3263327
-1.5790691,3.05224
-0.74290013,1.6767253
-0.8868345,1.9135002
-3.279727,5.8498554
-0.022507548,0.043275952
-0.023922145,0.10348794
-0.10051009,0.57947016
-0.5350253,1.3347671
-3.1722007,5.672973
-0.95056975,2.0183458
-0.7765182,1.7320276
-1.8029107,3.420464
-0.36981547,1.0639815
-0.0105519,-0.15540826
0.35030487,-3.2292414
-0.02709791,0.2518701
-0.024063587,0.10950637
-0.17873815,0.76857406
-4.2965016,7.5224705
-0.12773263,0.65183175
-0.053586394,0.4665029
0.49080127,-4.4260106
-0.44071686,1.1796279
-0.02228856,0.033956766
-0.13478881,0.6705881
-2.6212344,4.7666225
0.16931757,-1.687564
0.07414734,-0.87688893
0.08366674,-0.9579772
-2.042132,3.8139877
0.23261303,-2.2267246
-3.1420064,5.6233025
0.03395611,-0.5345342
0.42438567,-3.860273
-2.223371,4.112129
-1.2758714,2.553474
-0.03494951,0.40059662
-1.1355639,2.3226647
-3.4743652,6.1700397
-0.049343288,0.4566604
-2.383657,4.375803
0.0063794255,-0.29963213
-2.0645485,3.850863
0.26843727,-2.5318813
-1.7604223,3.3505697
-0.7303915,1.6561484
0.08914125,-1.0046097
-2.7601223,4.9950953
-0.025277525,0.16117632
0.20932463,-2.0283508
-3.6012673,6.3787956
-0.027005285,0.23471531
-0.023969471,0.105501294
0.08142461,-0.93887824
-2.773716,5.017457
-2.9602184,5.3242583
0.018151015,-0.3999043
-0.02247268,0.041791707
-0.024348348,0.121625334
-0.020477206,-0.043144703
-1.5298706,2.9713073
-0.025084138,0.15294471
-0.022630483,0.04850954
-1.6065361,3.097424
0.34533507,-3.1869092
0.0064379573,-0.30013084
-2.6717668,4.8497486
0.050925165,-0.6790794
-2.187961,4.0538793
0.08270571,-0.94979066
0.17315775,-1.7202754
-1.8440169,3.4880843
0.12562755,-1.3154055
-0.008426398,-0.17351383
0.091221154,-1.0223272
0.35288727,-3.2512393
-0.5591483,1.3744501
-1.6944984,3.2421236
-1.9977475,3.7409744
-1.8331355,3.4701843
-0.18432954,0.7769861
-0.020690858,-0.034050375
-0.023291409,0.076639414
0.09246856,-1.0329523
-0.09372035,0.5614219
0.24496675,-2.331955
-0.6021832,1.4452432
0.55335534,-4.9588575
0.043405265,-0.61502373
-1.925481,3.6220946
-2.4028392,4.407358
0.008541435,-0.31804854
-0.51018006,1.2938961
0.06491186,-0.79822
0.0062930584,-0.2988962
-0.17533374,0.76345223
-1.9023343,3.5840178
-3.394373,6.038451
-1.0083473,2.1133914
0.0995817,-1.093543
-0.025816709,0.1841281
-2.793343,5.0497446
-0.027060926,0.25423515
-0.0151129365,-0.116556525
-1.9851133,3.7201905
-0.02654469,0.28717434
-0.055135876,0.46994054
-2.563819,4.6721725
-0.02001974,-0.06261581
0.027608216,-0.48046184
0.1547649,-1.5636023
0.14764358,-1.5029416
-3.0879984,5.534458
-2.1056447,3.9184675
0.016469628,-0.38558143
0.016165406,-0.38299042
0.016472578,-0.385607
0.82910144,-7.307704
0.030068696,-0.50142074
0.16755058,-1.6725129
0.123345196,-1.2959639
0.049668312,-0.66837317
-0.71522164,1.6311936
0.07586041,-0.8914816
-1.7371327,3.3122573
-0.540009,1.3429656
-1.0951121,2.2561212
-0.042565107,0.4409374
0.45462537,-4.11786
-4.181467,7.3332357
0.05815789,-0.7406886
-3.6129537,6.3980203
-1.0651138,2.2067733
0.15620117,-1.575837
-0.051524162,0.46171933
-2.4181437,4.4325337
-1.6086633,3.1009226
0.05653581,-0.72687125
-1.6423048,3.1562638
-0.025721371,0.18006736
-0.06831887,0.4984889
-1.4663872,2.8668756
0.41306144,-3.7638116
0.0454143,-0.6321371
-4.534072,7.9132786
-0.026931822,0.23158932
-1.4891372,2.9043002
0.09861618,-1.0853188
-1.7811207,3.3846183
-0.26356453,0.8961916
0.014023155,-0.36474252
0.10185969,-1.1129475
-2.6918516,4.8827887
-0.75817454,1.7018522
-1.071844,2.2178445
-1.4702487,2.873228
0.32091016,-2.9788532
-0.010325283,-0.15733874
-2.8271685,5.1053877
0.114546105,-1.2210126
0.40775666,-3.718625
0.1424487,-1.458691
-3.4044738,6.055067
-1.0925895,2.2519712
0.1995294,-1.9449133
-1.5916129,3.0728745
-0.00086945295,-0.2378853
0.07967432,-0.923969
-2.0813131,3.8784409
-0.1561465,0.7273601
-7.246504,12.385917
-2.298975,4.2364993
-0.5751842,1.4008294
-2.7979088,5.0572553
0.288518,-2.7029324
-3.2051902,5.727241
-0.9938961,2.0896187
-0.028116167,0.33093694
0.24198146,-2.3065267
-3.2179666,5.7482586
0.17427002,-1.7297494
-0.09610355,0.56775683
-2.2032084,4.0789614
0.0035822392,-0.27580494
-0.026423246,0.20994392
-1.3516269,2.678093
-0.048712313,0.4551968
-0.87165964,1.888537
-0.031901777,0.36952794
0.05228308,-0.69064605
0.27722237,-2.6067138
-2.7756472,5.0206347
0.41040492,-3.7411838
-4.370911,7.6448755
-0.3473091,1.0275756
0.034311593,-0.53756243
-0.02311787,0.06925383
-1.4018396,2.760694
-0.4759183,1.237535
-1.1121695,2.2841806
-1.3273896,2.6382222
0.097926855,-1.079447
-0.020050853,-0.061290354
-1.558648,3.0186467
0.11009985,-1.1831385
-0.02205658,0.024079502
0.08898175,-1.0032511
0.044369787,-0.6232395
-1.8625826,3.5186253
-1.2622104,2.531001
0.07301776,-0.8672672
0.03968087,-0.58329874
-0.122902006,0.6389911
-0.031064391,0.36099106
0.20214769,-1.9672159
-1.332318,2.6463294
0.02427581,-0.45207578
-0.46267515,1.2157496
-0.49726737,1.2726547
0.15859364,-1.596216
0.09203836,-1.0292878
0.08913943,-1.0045941
0.20891954,-2.0248997
-0.08953047,0.5454898
0.057109207,-0.73175585
-0.7040491,1.6128147
-0.021376073,-0.004883468
-0.29600096,0.944991
-0.03553313,0.40654635
0.035976946,-0.55174774
-1.8385192,3.4790406
0.40050876,-3.656887
-2.2579465,4.1690063
-2.7228785,4.933829
0.17303973,-1.7192701
0.08382034,-0.95928544
0.043028533,-0.6118143
0.04405734,-0.62057805
-0.11545259,0.61918944
-2.0150342,3.7694106
-0.045655787,0.4481067
-1.5234764,2.9607887
0.12848684,-1.3397611
-0.3360257,1.0093514
-1.8547708,3.5057745
-0.72888255,1.6536661
-0.008389711,-0.17382604
-1.2701246,2.5440202
-1.8474523,3.4937353
-0.024622858,0.13331166
-0.02457124,0.13111475
-1.1433083,2.3354049
-1.063118,2.2034903
-0.025092363,0.15329465
-3.245264,5.793163
-3.1545415,5.6439233
-1.6156774,3.112461
-0.48781103,1.2570988
-0.021910965,0.017883927
0.25027966,-2.377212
0.09988864,-1.0961576
